site,rows,waterbody_variants,location_variants,first_date,last_date,waterbodies
251221150928,19,1,0,2021-10-24,2025-11-23,Garrison Creek River Mile 0.0
251221151121,10,1,0,2021-10-24,2024-01-21,Garrison Creek River Mile 1.8
251221151218,8,1,0,2023-10-29,2025-11-23,Garrison Creek River Mile 2.2
251221151317,7,1,0,2021-11-14,2024-08-22,Longfellow Creek River Mile 0.7
251221151517,5,1,0,2022-08-25,2024-08-22,Longfellow Creek River Mile 1.5
251221151617,6,1,0,2022-05-28,2024-08-22,Longfellow Creek River Mile 2.0
251221151814,6,1,0,2021-11-14,2024-08-22,Longfellow Creek River Mile 4.5
251221151903,4,1,0,2022-11-20,2023-08-23,May Creek River Mile 7.7
251221152037,4,1,0,2022-11-20,2023-08-23,May Creek River Mile 4.2
251221152129,4,1,0,2022-11-20,2023-08-23,Honey Dew Creek River Mile 0.3
251221152222,4,1,0,2022-11-20,2023-08-23,May Creek River Mile 3.0
251221152323,4,1,0,2022-11-20,2023-08-23,Borren Creek River Mile 0.0
251221152424,4,1,0,2022-11-20,2023-08-23,May Creek River Mile 0.2
251221152517,9,1,0,2021-08-12,2023-12-13,Des Moines Creek River Mile 0.2
251221152605,3,1,0,2022-02-20,2022-09-25,Des Moines Creek River Mile 2.0
251221152655,9,1,0,2021-12-08,2023-12-13,Des Moines Creek Tributary River Mile 0.0
251221152745,3,1,0,2022-02-20,2022-06-19,Barnes Creek River Mile 0.8
251221152839,3,1,0,2021-08-28,2022-09-25,Barnes Creek River Mile 0.6
251221152931,2,1,0,2022-06-19,2022-09-25,Massey Creek River Mile 0.2
251221153056,3,1,0,2022-02-20,2022-09-25,McSorley Creek River Mile 0.0
251221153156,2,1,0,2022-02-20,2022-06-19,"McSorley Creek, River Mile 0.6"
251221153641,4,1,0,2024-11-23,2025-09-07,Soos Creek River Mile 3.0
251221153821,4,1,0,2024-11-23,2025-09-07,Covington Creek River Mile 0.0
251221153909,4,1,0,2024-11-23,2025-09-07,Jenkins Creek River Mile 1.3
251221154015,4,1,0,2024-11-23,2025-09-07,Little Soos Creek River Mile 1.3
251221154202,4,1,0,2024-11-23,2025-09-07,Soos Creek River Mile 11.5
251221154334,1,1,0,2021-04-25,2021-04-25,Boeing Channel River Mile 0.0
5303301,137,1,1,2015-09-06,2023-12-04,Little Bear Creek
5303302,40,1,1,2015-09-27,2020-06-17,Parr Creek
5303303,48,1,1,2015-09-03,2023-04-05,North Creek
5303304,2,1,1,2025-04-05,2025-04-06,Horse Creek
5303305,235,1,1,2015-09-14,2026-03-29,Little Swamp Creek
5303306,131,1,1,2016-01-14,2026-03-01,Stream 0056
5303307,68,1,1,2015-09-15,2021-07-22,Swamp Creek
5303308,239,1,1,2015-09-11,2025-11-09,MacAleer Creek
5303309,77,1,1,2016-01-23,2025-09-19,MacAleer Creek
5303310,90,1,1,2015-10-20,2020-01-22,Thornton Creek
53033100,27,1,1,2024-11-20,2026-03-22,Longfellow Creek Beaver Pond
53033101,34,1,1,2024-11-02,2026-03-14,Longfellow Creek Dragonfly
53033102,12,1,1,2024-11-26,2026-03-26,Delridge Wetland Park Inlet
53033103,14,1,1,2024-11-26,2026-03-26,Delridge Wetland Park Outlet
53033104,29,1,1,2024-11-15,2026-01-30,Longfellow Creek Greg Davis
53033105,29,1,1,2024-11-23,2026-03-21,Longfellow Creek Thistle
5303311,25,1,1,2015-10-23,2017-12-02,Thornton Creek
5303312,34,1,1,2015-11-23,2019-09-29,Sammamish River
5303313,22,1,1,2015-11-23,2017-07-03,Sammamish River
5303314,7,1,1,2016-01-06,2017-05-05,Thornton Creek
5303315,34,1,1,2015-09-27,2017-03-25,North Creek
5303316,34,1,1,2015-09-27,2017-03-25,North Creek
5303317,14,1,1,2015-09-27,2016-05-22,Juanita Creek
5303318,239,1,1,2015-09-11,2025-11-08,Lyon Creek
5303319,75,1,1,2016-01-23,2025-09-19,Lyon Creek
5303320,141,1,1,2016-08-15,2026-03-02,Horse Creek
5303321,202,1,1,2016-08-20,2026-03-27,Swamp Creek
5303322,85,1,1,2018-07-21,2026-02-22,Swamp Creek
5303323,22,1,1,2019-03-31,2020-02-22,Juanita Creek
5303324,23,1,1,2019-03-31,2021-06-12,Juanita Creek
5303325,5,1,1,2019-04-28,2019-06-08,Pipers Creek
5303327,4,1,1,2019-03-17,2019-05-10,Venema Creek
5303328,3,1,1,2019-04-23,2019-05-30,Kimball Slough
5303330,6,1,1,2019-10-15,2020-01-15,Gilliam Creek
5303331,4,1,1,2019-07-27,2020-06-27,Thornton Creek
5303332,42,1,1,2019-07-27,2021-12-05,Thornton Creek UT brook
5303333,3,1,1,2019-11-13,2020-01-15,Johnson Creek
5303334,15,1,1,2019-07-14,2022-05-03,Bear Creek
5303335,105,1,1,2019-01-11,2025-07-12,Bear Creek
5303336,1,1,1,2020-02-20,2020-02-20,Riverton Creek
5303337,1,1,1,2020-02-20,2020-02-20,Duwamish River
5303338,5,1,1,2019-10-26,2020-03-30,Springbrook Creek
5303339,5,1,1,2019-09-28,2020-03-30,Springbrook Creek
5303340,5,1,1,2019-10-26,2020-03-30,Springbrook Creek
5303341,5,1,1,2019-09-28,2020-03-30,Springbrook Creek
5303343,5,1,1,2019-10-26,2020-03-30,Mill Creek
5303344,6,1,1,2019-09-28,2020-03-30,Mill Creek
5303345,5,1,1,2019-10-26,2020-03-30,Panther Creek
5303346,292,1,1,2020-03-03,2026-01-04,McSorley Creek
5303348,13,1,1,2020-11-01,2022-04-30,Puget Creek
5303349,9,1,1,2020-11-14,2022-04-16,Puget Creek
5303350,12,1,1,2021-01-18,2022-04-16,Puget Creek Trib A
5303351,3,1,1,2021-03-13,2021-11-21,Puget Creek
5303352,6,1,1,2021-08-13,2022-08-28,Firwood Creek
5303353,25,1,1,2021-08-09,2023-06-26,Forbes Creek
5303354,52,1,1,2021-07-11,2026-03-18,Juanita Creek Kingsgate Trib
5303355,6,1,1,2021-07-23,2022-01-31,Juanita Creek
5303356,2,1,1,2021-07-15,2021-07-24,Puget Creek
5303358,1,1,1,2021-11-10,2021-11-10,Swamp Creek
5303359,2,1,1,2021-11-10,2021-11-10,Swamp Creek lagoon
5303360,59,1,1,2022-01-23,2026-01-20,Evans Creek
5303361,60,1,1,2022-01-16,2026-01-20,Bear Creek
5303363,1,1,1,2022-08-17,2022-08-17,Denny Creek West Trib
5303364,6,1,1,2021-01-11,2022-04-01,Denny Creek
5303365,4,1,1,2022-01-29,2022-03-19,Fauntleroy Creek
5303366,5,1,1,2022-01-29,2022-03-19,Fauntleroy Creek
5303368,1,1,1,2022-02-26,2022-02-26,Swamp
5303369,7,1,1,2022-02-26,2022-06-27,Taylor Creek
5303371,80,1,1,2022-01-09,2026-02-05,Penny Creek
5303372,13,1,1,2022-03-10,2024-05-03,Firwood Creek
5303377,2,1,1,2023-05-23,2023-05-23,Little Swamp Creek
5303378,2,1,1,2023-05-24,2023-05-24,Twin Springs # 1
5303379,2,1,1,2023-05-25,2023-05-25,Twin Springs # 2
5303380,1,1,1,2023-12-05,2023-12-05,Lake Washington
5303382,28,1,1,2023-07-13,2025-02-12,Juanita Creek
5303383,41,1,1,2023-06-26,2026-01-20,Stens Creek
5303384,40,1,1,2023-06-26,2026-01-20,Stens Creek
5303386,22,1,1,2024-04-29,2025-05-06,Blueberry Creek
5303387,21,2,2,2024-04-29,2026-03-04,Forgotten Creek WGC; WGC Sammamish tributary
5303389,4,1,1,2024-04-14,2024-08-04,Lower Bsche'tla Creek
5303390,4,1,1,2024-04-14,2024-08-04,Upper Bsche'tla Creek
5303391,89,2,1,2022-01-01,2026-03-29,Piper's Creek; Pipers
5303392,94,2,1,2022-11-12,2026-04-11,Mohlendorph Creek; Molendorph
5303393,86,2,1,2022-11-13,2026-04-10,Venema; Venema Creek; venema
5303394,96,3,1,2020-12-13,2026-03-28,North Creek; Piper's Creek North Creek; Venema
5303395,63,2,1,2022-11-18,2026-03-07,Piper's Creek Viewlands; Viewlands
5303396,76,2,1,2022-10-29,2026-04-05,Piper's Creek Below TP; Pipers
5303397,80,2,1,2022-10-29,2026-03-07,Piper's Creek Above TP; Pipers
5303398,88,4,1,2022-11-06,2026-03-22,"; Piper's Creek Trib M; Pipers; Trib """"M"""""
5306101,153,1,1,2015-08-22,2026-02-08,North Creek
5306102,53,1,1,2015-09-12,2018-06-02,Swamp Creek
5306103,227,1,2,2015-09-22,2026-03-27,Little Swamp Creek
5306105,14,1,1,2015-09-21,2016-04-25,Snohomish River
5306106,24,1,1,2015-09-10,2018-09-22,Woods Creek
5306107,14,1,1,2015-09-21,2016-06-17,Catherine Creek
5306108,12,1,1,2015-12-04,2022-08-21,Cripple Creek
5306109,80,1,1,2015-09-26,2023-08-10,Big Gulch
5306110,78,1,1,2015-08-30,2022-01-14,Japanese Gulch
5306111,2,1,1,2016-06-12,2016-06-12,Hall Creek
5306113,31,1,1,2018-12-22,2020-10-10,Woods Creek
5306114,67,1,1,2018-06-02,2023-12-17,Scriber Creek
5306121,81,1,1,2020-07-13,2024-03-17,Crystal Creek - Upper
5306122,84,1,1,2020-07-17,2024-03-17,No Name Creek
5306123,81,1,1,2020-07-16,2024-03-17,Crystal Creek -Lower
