site,date,target,value,waterbody,replicate_rows
241118180336,2026-01-31,nitrate,1.8,McKinnon Creek,1
241118180336,2026-03-07,nitrate,1.3,McKinnon Creek,1
241118180336,2025-01-04,other_coliform,233.33,McKinnon Creek,1
241118180336,2025-02-01,other_coliform,633.33,McKinnon Creek,1
241118180336,2025-03-01,other_coliform,500.0,McKinnon Creek,1
241118180336,2025-04-05,other_coliform,866.67,McKinnon Creek,1
241118180336,2025-05-03,other_coliform,666.67,McKinnon Creek,1
241118180336,2025-10-07,other_coliform,2400.0,McKinnon Creek,1
241118180336,2026-01-03,other_coliform,333.33,McKinnon Creek,1
241118180336,2026-01-31,other_coliform,366.67,McKinnon Creek,1
241118180336,2026-03-07,other_coliform,66.67,McKinnon Creek,1
241118180336,2025-01-04,oxygen_saturation,96.04,McKinnon Creek,1
241118180336,2025-02-01,oxygen_saturation,95.98,McKinnon Creek,1
241118180336,2025-03-01,oxygen_saturation,95.62,McKinnon Creek,1
241118180336,2025-04-05,oxygen_saturation,97.65,McKinnon Creek,1
241118180336,2025-05-03,oxygen_saturation,97.39,McKinnon Creek,1
241118180336,2025-06-07,oxygen_saturation,97.55,McKinnon Creek,1
241118180336,2025-10-04,oxygen_saturation,95.64,McKinnon Creek,1
241118180336,2026-01-03,oxygen_saturation,97.23,McKinnon Creek,1
241118180336,2026-01-31,oxygen_saturation,97.6,McKinnon Creek,1
241118180336,2026-03-07,oxygen_saturation,99.27,McKinnon Creek,1
241118180336,2025-01-04,ph,7.81,McKinnon Creek,1
241118180336,2025-02-01,ph,8.1,McKinnon Creek,1
241118180336,2025-03-01,ph,7.9,McKinnon Creek,1
241118180336,2025-04-05,ph,7.84,McKinnon Creek,1
241118180336,2025-05-03,ph,7.9,McKinnon Creek,1
241118180336,2025-06-07,ph,7.93,McKinnon Creek,1
241118180336,2025-10-04,ph,8.12,McKinnon Creek,1
241118180336,2026-01-03,ph,7.76,McKinnon Creek,1
241118180336,2026-01-31,ph,7.81,McKinnon Creek,1
241118180336,2026-03-07,ph,7.93,McKinnon Creek,1
241118180336,2025-01-04,phosphate,1.4,McKinnon Creek,1
241118180336,2025-02-01,phosphate,0.0,McKinnon Creek,1
241118180336,2025-03-01,phosphate,0.23,McKinnon Creek,1
241118180336,2025-04-05,phosphate,0.42,McKinnon Creek,1
241118180336,2025-05-03,phosphate,0.19,McKinnon Creek,1
241118180336,2025-06-07,phosphate,0.41,McKinnon Creek,1
241118180336,2025-10-04,phosphate,0.16,McKinnon Creek,1
241118180336,2026-01-03,phosphate,0.26,McKinnon Creek,1
241118180336,2026-01-31,phosphate,0.31,McKinnon Creek,1
241118180336,2026-03-07,phosphate,0.316,McKinnon Creek,1
241118180336,2025-02-01,suspended_solids,0.0,McKinnon Creek,1
241118180336,2025-03-01,suspended_solids,0.66,McKinnon Creek,1
241118180336,2025-04-05,suspended_solids,4.6,McKinnon Creek,1
241118180336,2025-05-03,suspended_solids,4.7,McKinnon Creek,1
241118180336,2025-06-07,suspended_solids,5.0,McKinnon Creek,1
241118180336,2025-10-04,suspended_solids,7.0,McKinnon Creek,1
241118180336,2026-01-03,suspended_solids,4.0,McKinnon Creek,1
241118180336,2026-01-31,suspended_solids,10.0,McKinnon Creek,1
241118180336,2026-03-07,suspended_solids,2.66,McKinnon Creek,1
241118180336,2025-01-04,turbidity_reported,1.69,McKinnon Creek,1
241118180336,2025-02-01,turbidity_reported,0.0,McKinnon Creek,1
241118180336,2025-03-01,turbidity_reported,1.98,McKinnon Creek,1
241118180336,2025-04-05,turbidity_reported,1.59,McKinnon Creek,1
241118180336,2025-05-03,turbidity_reported,2.0,McKinnon Creek,1
241118180336,2025-06-07,turbidity_reported,2.51,McKinnon Creek,1
241118180336,2025-10-04,turbidity_reported,1.87,McKinnon Creek,1
241118180336,2026-01-03,turbidity_reported,6.21,McKinnon Creek,1
241118180336,2026-01-31,turbidity_reported,6.45,McKinnon Creek,1
241118180336,2026-03-07,turbidity_reported,3.02,McKinnon Creek,1
241118180336,2025-01-04,water_temperature,8.9,McKinnon Creek,1
241118180336,2025-02-01,water_temperature,7.7,McKinnon Creek,1
241118180336,2025-03-01,water_temperature,8.53,McKinnon Creek,1
241118180336,2025-04-05,water_temperature,10.1,McKinnon Creek,1
241118180336,2025-05-03,water_temperature,10.3,McKinnon Creek,1
241118180336,2025-06-07,water_temperature,11.5,McKinnon Creek,1
241118180336,2025-10-04,water_temperature,11.3,McKinnon Creek,1
241118180336,2026-01-03,water_temperature,9.0,McKinnon Creek,1
241118180336,2026-01-31,water_temperature,9.5,McKinnon Creek,1
241118180336,2026-03-07,water_temperature,9.8,McKinnon Creek,1
241118181240,2025-01-04,conductivity,252.5,Barnes,1
241118181240,2025-02-01,conductivity,169.7,Barnes,1
241118181240,2025-03-01,conductivity,265.3,Barnes,1
241118181240,2025-04-05,conductivity,263.3,Barnes,1
241118181240,2025-05-03,conductivity,177.5,Barnes,1
241118181240,2025-06-07,conductivity,270.7,Barnes,1
241118181240,2025-10-03,conductivity,284.8,Barnes,1
241118181240,2026-01-03,conductivity,222.2,Barnes,1
241118181240,2026-01-31,conductivity,254.1,Barnes,1
241118181240,2026-03-07,conductivity,242.63,Barnes,1
241118181240,2025-01-04,dissolved_oxygen,11.3,Barnes,1
241118181240,2025-02-01,dissolved_oxygen,11.74,Barnes,1
241118181240,2025-03-01,dissolved_oxygen,11.14,Barnes,1
241118181240,2025-04-05,dissolved_oxygen,11.19,Barnes,1
241118181240,2025-05-03,dissolved_oxygen,11.13,Barnes,1
241118181240,2025-06-07,dissolved_oxygen,10.69,Barnes,1
241118181240,2025-10-03,dissolved_oxygen,10.46,Barnes,1
241118181240,2026-01-03,dissolved_oxygen,11.47,Barnes,1
241118181240,2026-01-31,dissolved_oxygen,11.39,Barnes,1
241118181240,2026-03-07,dissolved_oxygen,11.18,Barnes,1
241118181240,2025-01-04,ecoli,0.0,Barnes,1
241118181240,2025-02-01,ecoli,0.0,Barnes,1
241118181240,2025-03-01,ecoli,166.67,Barnes,1
241118181240,2025-04-05,ecoli,0.0,Barnes,1
241118181240,2025-05-03,ecoli,0.0,Barnes,1
241118181240,2025-06-07,ecoli,100.0,Barnes,1
241118181240,2025-10-07,ecoli,0.0,Barnes,1
241118181240,2026-01-03,ecoli,33.33,Barnes,1
241118181240,2026-01-31,ecoli,400.0,Barnes,1
241118181240,2026-03-07,ecoli,0.0,Barnes,1
241118181240,2025-01-04,nitrate,2.9,Barnes,1
241118181240,2025-02-01,nitrate,1.0,Barnes,1
241118181240,2025-03-01,nitrate,0.96,Barnes,1
241118181240,2025-04-05,nitrate,1.5,Barnes,1
241118181240,2025-05-03,nitrate,1.2,Barnes,1
241118181240,2025-06-07,nitrate,1.2,Barnes,1
241118181240,2025-10-03,nitrate,1.6,Barnes,1
241118181240,2026-01-03,nitrate,0.5,Barnes,1
241118181240,2026-01-31,nitrate,2.1,Barnes,1
241118181240,2026-03-07,nitrate,1.33,Barnes,1
241118181240,2025-01-04,other_coliform,633.33,Barnes,1
241118181240,2025-02-01,other_coliform,1233.33,Barnes,1
241118181240,2025-03-01,other_coliform,933.33,Barnes,1
241118181240,2025-04-05,other_coliform,2066.67,Barnes,1
241118181240,2025-05-03,other_coliform,533.33,Barnes,1
241118181240,2025-10-07,other_coliform,900.0,Barnes,1
241118181240,2026-01-03,other_coliform,533.33,Barnes,1
241118181240,2026-01-31,other_coliform,400.0,Barnes,1
241118181240,2026-03-07,other_coliform,133.33,Barnes,1
241118181240,2025-01-04,oxygen_saturation,97.32,Barnes,1
241118181240,2025-02-01,oxygen_saturation,97.23,Barnes,1
241118181240,2025-03-01,oxygen_saturation,96.93,Barnes,1
241118181240,2025-04-05,oxygen_saturation,99.86,Barnes,1
241118181240,2025-05-03,oxygen_saturation,99.56,Barnes,1
241118181240,2025-06-07,oxygen_saturation,99.67,Barnes,1
241118181240,2025-10-03,oxygen_saturation,96.64,Barnes,1
241118181240,2026-01-03,oxygen_saturation,99.5,Barnes,1
241118181240,2026-01-31,oxygen_saturation,99.99,Barnes,1
241118181240,2026-03-07,oxygen_saturation,99.21,Barnes,1
241118181240,2025-01-04,ph,7.92,Barnes,1
241118181240,2025-02-01,ph,8.2,Barnes,1
241118181240,2025-03-01,ph,8.06,Barnes,1
241118181240,2025-04-05,ph,8.0,Barnes,1
241118181240,2025-05-03,ph,8.1,Barnes,1
241118181240,2025-06-07,ph,8.15,Barnes,1
241118181240,2025-10-03,ph,8.2,Barnes,1
241118181240,2026-01-03,ph,8.26,Barnes,1
241118181240,2026-01-31,ph,7.99,Barnes,1
241118181240,2026-03-07,ph,8.14,Barnes,1
241118181240,2025-01-04,phosphate,1.8,Barnes,1
241118181240,2025-02-01,phosphate,0.0,Barnes,1
241118181240,2025-03-01,phosphate,0.36,Barnes,1
241118181240,2025-04-05,phosphate,0.17,Barnes,1
241118181240,2025-05-03,phosphate,0.145,Barnes,1
241118181240,2025-06-07,phosphate,0.37,Barnes,1
241118181240,2025-10-03,phosphate,0.14,Barnes,1
241118181240,2026-01-03,phosphate,0.23,Barnes,1
241118181240,2026-01-31,phosphate,0.4,Barnes,1
241118181240,2026-03-07,phosphate,0.353,Barnes,1
241118181240,2025-01-04,suspended_solids,12.0,Barnes,1
241118181240,2025-02-01,suspended_solids,0.0,Barnes,1
241118181240,2025-03-01,suspended_solids,1.33,Barnes,1
241118181240,2025-04-05,suspended_solids,10.3,Barnes,1
241118181240,2025-05-03,suspended_solids,4.0,Barnes,1
241118181240,2025-06-07,suspended_solids,6.0,Barnes,1
241118181240,2025-10-03,suspended_solids,3.0,Barnes,1
241118181240,2026-01-03,suspended_solids,6.0,Barnes,1
241118181240,2026-01-31,suspended_solids,3.0,Barnes,1
241118181240,2026-03-07,suspended_solids,4.3,Barnes,1
241118181240,2025-01-04,turbidity_reported,2.5,Barnes,1
241118181240,2025-02-01,turbidity_reported,0.5,Barnes,1
241118181240,2025-03-01,turbidity_reported,3.0,Barnes,1
241118181240,2025-04-05,turbidity_reported,6.76,Barnes,1
241118181240,2025-05-03,turbidity_reported,2.2,Barnes,1
241118181240,2025-06-07,turbidity_reported,2.47,Barnes,1
241118181240,2025-10-03,turbidity_reported,2.74,Barnes,1
241118181240,2026-01-03,turbidity_reported,7.16,Barnes,1
241118181240,2026-01-31,turbidity_reported,3.77,Barnes,1
241118181240,2026-03-07,turbidity_reported,4.52,Barnes,1
241118181240,2025-01-04,water_temperature,8.7,Barnes,1
241118181240,2025-02-01,water_temperature,7.1,Barnes,1
241118181240,2025-03-01,water_temperature,9.13,Barnes,1
241118181240,2025-04-05,water_temperature,10.2,Barnes,1
241118181240,2025-05-03,water_temperature,10.3,Barnes,1
241118181240,2025-06-07,water_temperature,12.1,Barnes,1
241118181240,2025-10-03,water_temperature,11.7,Barnes,1
241118181240,2026-01-03,water_temperature,9.0,Barnes,1
241118181240,2026-01-31,water_temperature,9.5,Barnes,1
241118181240,2026-03-07,water_temperature,9.96,Barnes,1
241118181609,2025-01-04,conductivity,187.2,Lower Ballinger,1
241118181609,2025-02-01,conductivity,212.7,Lower Ballinger,1
241118181609,2025-03-01,conductivity,229.8,Lower Ballinger,1
241118181609,2025-04-05,conductivity,230.8,Lower Ballinger,1
241118181609,2025-05-03,conductivity,223.0,Lower Ballinger,1
241118181609,2025-06-07,conductivity,226.9,Lower Ballinger,1
241118181609,2025-07-12,conductivity,227.1,Lower Ballinger,1
241118181609,2025-08-02,conductivity,228.0,Lower Ballinger,1
241118181609,2025-09-13,conductivity,237.8,Lower Ballinger,1
241118181609,2025-10-03,conductivity,237.2,Lower Ballinger,1
241118181609,2026-01-03,conductivity,90.9,Lower Ballinger,1
241118181609,2026-01-31,conductivity,205.9,Lower Ballinger,1
241118181609,2026-03-07,conductivity,183.4,Lower Ballinger,1
241118181609,2025-01-04,dissolved_oxygen,11.32,Lower Ballinger,1
241118181609,2025-02-01,dissolved_oxygen,12.08,Lower Ballinger,1
241118181609,2025-03-01,dissolved_oxygen,11.35,Lower Ballinger,1
241118181609,2025-04-05,dissolved_oxygen,11.46,Lower Ballinger,1
241118181609,2025-05-03,dissolved_oxygen,10.61,Lower Ballinger,1
241118181609,2025-06-07,dissolved_oxygen,9.73,Lower Ballinger,1
241118181609,2025-07-12,dissolved_oxygen,9.34,Lower Ballinger,1
241118181609,2025-08-02,dissolved_oxygen,9.45,Lower Ballinger,1
241118181609,2025-09-13,dissolved_oxygen,9.34,Lower Ballinger,1
241118181609,2025-10-03,dissolved_oxygen,10.16,Lower Ballinger,1
241118181609,2026-01-03,dissolved_oxygen,11.54,Lower Ballinger,1
241118181609,2026-01-31,dissolved_oxygen,11.63,Lower Ballinger,1
241118181609,2026-03-07,dissolved_oxygen,11.17,Lower Ballinger,1
241118181609,2025-01-04,ecoli,33.33,Lower Ballinger,1
241118181609,2025-02-01,ecoli,100.0,Lower Ballinger,1
241118181609,2025-03-01,ecoli,0.0,Lower Ballinger,1
241118181609,2025-04-05,ecoli,166.67,Lower Ballinger,1
241118181609,2025-05-03,ecoli,0.0,Lower Ballinger,1
241118181609,2025-06-07,ecoli,500.0,Lower Ballinger,1
241118181609,2025-07-12,ecoli,1666.67,Lower Ballinger,2
241118181609,2025-08-02,ecoli,400.0,Lower Ballinger,1
241118181609,2025-09-13,ecoli,333.33,Lower Ballinger,1
241118181609,2025-10-07,ecoli,0.0,Lower Ballinger,1
241118181609,2026-01-03,ecoli,266.67,Lower Ballinger,1
241118181609,2026-01-31,ecoli,666.67,Lower Ballinger,1
241118181609,2026-03-07,ecoli,133.33,Lower Ballinger,1
241118181609,2025-01-04,nitrate,3.0,Lower Ballinger,1
241118181609,2025-02-01,nitrate,0.7,Lower Ballinger,1
241118181609,2025-03-01,nitrate,0.96,Lower Ballinger,1
241118181609,2025-04-05,nitrate,2.4,Lower Ballinger,1
241118181609,2025-05-03,nitrate,1.6,Lower Ballinger,1
241118181609,2025-06-07,nitrate,1.0,Lower Ballinger,1
241118181609,2025-07-12,nitrate,1.3,Lower Ballinger,1
241118181609,2025-08-02,nitrate,0.9,Lower Ballinger,1
241118181609,2025-09-13,nitrate,0.9,Lower Ballinger,1
241118181609,2025-10-03,nitrate,1.1,Lower Ballinger,1
241118181609,2026-01-03,nitrate,0.9,Lower Ballinger,1
241118181609,2026-01-31,nitrate,0.7,Lower Ballinger,1
241118181609,2026-03-07,nitrate,1.16,Lower Ballinger,1
241118181609,2025-01-04,other_coliform,33.33,Lower Ballinger,1
241118181609,2025-02-01,other_coliform,1466.67,Lower Ballinger,1
241118181609,2025-03-01,other_coliform,366.67,Lower Ballinger,1
241118181609,2025-04-05,other_coliform,1566.67,Lower Ballinger,1
241118181609,2025-05-03,other_coliform,1066.67,Lower Ballinger,1
241118181609,2025-07-12,other_coliform,3866.67,Lower Ballinger,2
241118181609,2025-08-02,other_coliform,4266.67,Lower Ballinger,1
241118181609,2025-09-13,other_coliform,3700.0,Lower Ballinger,1
241118181609,2025-10-07,other_coliform,3300.0,Lower Ballinger,1
241118181609,2026-01-03,other_coliform,1633.33,Lower Ballinger,1
241118181609,2026-01-31,other_coliform,700.0,Lower Ballinger,1
241118181609,2026-03-07,other_coliform,266.67,Lower Ballinger,1
241118181609,2025-01-04,oxygen_saturation,95.83,Lower Ballinger,1
241118181609,2025-02-01,oxygen_saturation,96.07,Lower Ballinger,1
241118181609,2025-03-01,oxygen_saturation,95.62,Lower Ballinger,1
241118181609,2025-04-05,oxygen_saturation,100.11,Lower Ballinger,1
241118181609,2025-05-03,oxygen_saturation,96.46,Lower Ballinger,1
241118181609,2025-06-07,oxygen_saturation,94.44,Lower Ballinger,1
241118181609,2025-07-12,oxygen_saturation,95.67,Lower Ballinger,1
241118181609,2025-08-02,oxygen_saturation,96.39,Lower Ballinger,1
241118181609,2025-09-13,oxygen_saturation,94.46,Lower Ballinger,1
241118181609,2025-10-03,oxygen_saturation,93.76,Lower Ballinger,1
241118181609,2026-01-03,oxygen_saturation,97.22,Lower Ballinger,1
241118181609,2026-01-31,oxygen_saturation,99.42,Lower Ballinger,1
241118181609,2026-03-07,oxygen_saturation,98.58,Lower Ballinger,1
241118181609,2025-01-04,ph,7.43,Lower Ballinger,1
241118181609,2025-02-01,ph,7.7,Lower Ballinger,1
241118181609,2025-03-01,ph,7.61,Lower Ballinger,1
241118181609,2025-04-05,ph,7.62,Lower Ballinger,1
241118181609,2025-05-03,ph,7.6,Lower Ballinger,1
241118181609,2025-06-07,ph,7.2,Lower Ballinger,1
241118181609,2025-07-12,ph,7.7,Lower Ballinger,1
241118181609,2025-08-02,ph,7.8,Lower Ballinger,1
241118181609,2025-09-13,ph,6.73,Lower Ballinger,1
241118181609,2025-10-03,ph,7.85,Lower Ballinger,1
241118181609,2026-01-03,ph,6.76,Lower Ballinger,1
241118181609,2026-01-31,ph,7.37,Lower Ballinger,1
241118181609,2026-03-07,ph,7.63,Lower Ballinger,1
241118181609,2025-01-04,phosphate,1.1,Lower Ballinger,1
241118181609,2025-02-01,phosphate,0.0,Lower Ballinger,1
241118181609,2025-03-01,phosphate,0.23,Lower Ballinger,1
241118181609,2025-04-05,phosphate,0.22,Lower Ballinger,1
241118181609,2025-05-03,phosphate,0.127,Lower Ballinger,1
241118181609,2025-06-07,phosphate,0.44,Lower Ballinger,1
241118181609,2025-07-12,phosphate,0.243,Lower Ballinger,1
241118181609,2025-08-02,phosphate,0.505,Lower Ballinger,1
241118181609,2025-09-13,phosphate,0.11,Lower Ballinger,1
241118181609,2025-10-03,phosphate,0.13,Lower Ballinger,1
241118181609,2026-01-03,phosphate,0.39,Lower Ballinger,1
241118181609,2026-01-31,phosphate,0.32,Lower Ballinger,1
241118181609,2026-03-07,phosphate,0.33,Lower Ballinger,1
241118181609,2025-01-04,suspended_solids,14.0,Lower Ballinger,1
241118181609,2025-02-01,suspended_solids,0.0,Lower Ballinger,1
241118181609,2025-03-01,suspended_solids,0.66,Lower Ballinger,1
241118181609,2025-04-05,suspended_solids,2.6,Lower Ballinger,1
241118181609,2025-05-03,suspended_solids,5.3,Lower Ballinger,1
241118181609,2025-06-07,suspended_solids,3.8,Lower Ballinger,1
241118181609,2025-07-12,suspended_solids,3.7,Lower Ballinger,1
241118181609,2025-08-02,suspended_solids,2.3,Lower Ballinger,1
241118181609,2025-09-13,suspended_solids,4.0,Lower Ballinger,1
241118181609,2025-10-03,suspended_solids,0.0,Lower Ballinger,1
241118181609,2026-01-03,suspended_solids,8.0,Lower Ballinger,1
241118181609,2026-01-31,suspended_solids,0.0,Lower Ballinger,1
241118181609,2026-03-07,suspended_solids,7.0,Lower Ballinger,1
241118181609,2025-01-04,turbidity_reported,2.87,Lower Ballinger,1
241118181609,2025-02-01,turbidity_reported,0.0,Lower Ballinger,1
241118181609,2025-03-01,turbidity_reported,0.86,Lower Ballinger,1
241118181609,2025-04-05,turbidity_reported,0.21,Lower Ballinger,1
241118181609,2025-05-03,turbidity_reported,1.6,Lower Ballinger,1
241118181609,2025-07-12,turbidity_reported,2.7,Lower Ballinger,1
241118181609,2025-08-02,turbidity_reported,5.1,Lower Ballinger,1
241118181609,2025-09-13,turbidity_reported,7.29,Lower Ballinger,1
241118181609,2025-10-03,turbidity_reported,0.0,Lower Ballinger,1
241118181609,2026-01-03,turbidity_reported,8.32,Lower Ballinger,1
241118181609,2026-01-31,turbidity_reported,2.38,Lower Ballinger,1
241118181609,2026-03-07,turbidity_reported,3.34,Lower Ballinger,1
241118181609,2025-01-04,water_temperature,7.9,Lower Ballinger,1
241118181609,2025-02-01,water_temperature,5.4,Lower Ballinger,1
241118181609,2025-03-01,water_temperature,7.7,Lower Ballinger,1
241118181609,2025-04-05,water_temperature,9.2,Lower Ballinger,1
241118181609,2025-05-03,water_temperature,10.9,Lower Ballinger,1
241118181609,2025-06-07,water_temperature,13.8,Lower Ballinger,1
241118181609,2025-07-12,water_temperature,16.3,Lower Ballinger,1
241118181609,2025-08-02,water_temperature,16.1,Lower Ballinger,1
241118181609,2025-09-13,water_temperature,15.7,Lower Ballinger,1
241118181609,2025-10-03,water_temperature,11.55,Lower Ballinger,1
241118181609,2026-01-03,water_temperature,7.7,Lower Ballinger,1
241118181609,2026-01-31,water_temperature,8.3,Lower Ballinger,1
241118181609,2026-03-07,water_temperature,9.63,Lower Ballinger,1
241118181741,2024-12-07,conductivity,56.67,West Fork,1
241118181741,2025-01-04,conductivity,195.3,West Fork,1
241118181741,2025-02-01,conductivity,227.3,West Fork,1
241118181741,2025-03-01,conductivity,243.3,West Fork,1
241118181741,2025-04-05,conductivity,248.4,West Fork,1
241118181741,2025-05-03,conductivity,234.8,West Fork,1
241118181741,2025-06-07,conductivity,245.1,West Fork,1
241118181741,2025-10-03,conductivity,252.6,West Fork,1
241118181741,2026-01-03,conductivity,80.9,West Fork,1
241118181741,2026-01-31,conductivity,210.0,West Fork,1
241118181741,2026-03-07,conductivity,190.9,West Fork,1
241118181741,2024-12-07,dissolved_oxygen,10.06,West Fork,1
241118181741,2025-01-04,dissolved_oxygen,9.66,West Fork,1
241118181741,2025-02-01,dissolved_oxygen,10.29,West Fork,1
241118181741,2025-03-01,dissolved_oxygen,9.68,West Fork,1
241118181741,2025-04-05,dissolved_oxygen,9.91,West Fork,1
241118181741,2025-05-03,dissolved_oxygen,8.51,West Fork,1
241118181741,2025-06-07,dissolved_oxygen,8.34,West Fork,1
241118181741,2025-10-03,dissolved_oxygen,8.88,West Fork,1
241118181741,2026-01-03,dissolved_oxygen,10.43,West Fork,1
241118181741,2026-01-31,dissolved_oxygen,9.58,West Fork,1
241118181741,2026-03-07,dissolved_oxygen,10.48,West Fork,1
241118181741,2025-01-04,ecoli,0.0,West Fork,1
241118181741,2025-02-01,ecoli,66.67,West Fork,1
241118181741,2025-03-01,ecoli,66.67,West Fork,1
241118181741,2025-04-05,ecoli,366.67,West Fork,1
241118181741,2025-05-03,ecoli,100.0,West Fork,1
241118181741,2025-06-07,ecoli,300.0,West Fork,1
241118181741,2025-10-03,ecoli,200.0,West Fork,1
241118181741,2026-01-03,ecoli,266.67,West Fork,1
241118181741,2026-01-31,ecoli,133.33,West Fork,1
241118181741,2026-03-07,ecoli,33.33,West Fork,1
241118181741,2024-12-07,nitrate,2.83,West Fork,1
241118181741,2025-01-04,nitrate,3.3,West Fork,1
241118181741,2025-02-01,nitrate,1.0,West Fork,1
241118181741,2025-03-01,nitrate,0.9,West Fork,1
241118181741,2025-04-05,nitrate,1.0,West Fork,1
241118181741,2025-05-03,nitrate,1.3,West Fork,1
241118181741,2025-06-07,nitrate,1.1,West Fork,1
241118181741,2025-10-03,nitrate,1.1,West Fork,1
241118181741,2026-01-03,nitrate,0.6,West Fork,1
241118181741,2026-01-31,nitrate,0.8,West Fork,1
241118181741,2026-03-07,nitrate,1.16,West Fork,1
241118181741,2025-01-04,other_coliform,833.33,West Fork,1
241118181741,2025-02-01,other_coliform,1266.67,West Fork,1
241118181741,2025-03-01,other_coliform,633.33,West Fork,1
241118181741,2025-04-05,other_coliform,1266.67,West Fork,1
241118181741,2025-05-03,other_coliform,2366.67,West Fork,1
241118181741,2025-10-03,other_coliform,800.0,West Fork,1
241118181741,2026-01-03,other_coliform,2900.0,West Fork,1
241118181741,2026-01-31,other_coliform,533.33,West Fork,1
241118181741,2026-03-07,other_coliform,1266.67,West Fork,1
241118181741,2024-12-07,oxygen_saturation,87.02,West Fork,1
241118181741,2025-01-04,oxygen_saturation,82.15,West Fork,1
241118181741,2025-02-01,oxygen_saturation,82.43,West Fork,1
241118181741,2025-03-01,oxygen_saturation,82.73,West Fork,1
241118181741,2025-04-05,oxygen_saturation,86.34,West Fork,1
241118181741,2025-05-03,oxygen_saturation,78.07,West Fork,1
241118181741,2025-06-07,oxygen_saturation,81.3,West Fork,1
241118181741,2025-10-03,oxygen_saturation,82.78,West Fork,1
241118181741,2026-01-03,oxygen_saturation,87.84,West Fork,1
241118181741,2026-01-31,oxygen_saturation,82.07,West Fork,1
241118181741,2026-03-07,oxygen_saturation,93.19,West Fork,1
241118181741,2024-12-07,ph,7.1,West Fork,1
241118181741,2025-01-04,ph,6.89,West Fork,1
241118181741,2025-02-01,ph,7.2,West Fork,1
241118181741,2025-03-01,ph,7.06,West Fork,1
241118181741,2025-04-05,ph,6.83,West Fork,1
241118181741,2025-05-03,ph,7.0,West Fork,1
241118181741,2025-06-07,ph,7.12,West Fork,1
241118181741,2025-10-03,ph,7.63,West Fork,1
241118181741,2026-01-03,ph,6.13,West Fork,1
241118181741,2026-01-31,ph,6.5,West Fork,1
241118181741,2026-03-07,ph,7.77,West Fork,1
241118181741,2024-12-07,phosphate,2.03,West Fork,1
241118181741,2025-01-04,phosphate,1.6,West Fork,1
241118181741,2025-02-01,phosphate,0.0,West Fork,1
241118181741,2025-03-01,phosphate,0.13,West Fork,1
241118181741,2025-04-05,phosphate,0.3,West Fork,1
241118181741,2025-05-03,phosphate,0.21,West Fork,1
241118181741,2025-06-07,phosphate,1.0,West Fork,1
241118181741,2025-10-03,phosphate,0.15,West Fork,1
241118181741,2026-01-03,phosphate,0.22,West Fork,1
241118181741,2026-01-31,phosphate,0.25,West Fork,1
241118181741,2026-03-07,phosphate,0.35,West Fork,1
