site,eligible_targets,unavailable_targets,flagged_targets,note
5303317,0,15,,Correlated target flags; no combined safety score.
5303318,0,15,,Correlated target flags; no combined safety score.
5303319,0,15,,Correlated target flags; no combined safety score.
5303320,9,6,turbidity_legacy,Correlated target flags; no combined safety score.
5303321,10,5,dissolved_oxygen;oxygen_saturation;turbidity_legacy,Correlated target flags; no combined safety score.
5303322,9,6,,Correlated target flags; no combined safety score.
5303323,0,15,,Correlated target flags; no combined safety score.
5303324,0,15,,Correlated target flags; no combined safety score.
5303325,0,15,,Correlated target flags; no combined safety score.
5303327,0,15,,Correlated target flags; no combined safety score.
5303328,0,15,,Correlated target flags; no combined safety score.
5303330,0,15,,Correlated target flags; no combined safety score.
5303331,0,15,,Correlated target flags; no combined safety score.
5303332,0,15,,Correlated target flags; no combined safety score.
5303333,0,15,,Correlated target flags; no combined safety score.
5303334,0,15,,Correlated target flags; no combined safety score.
5303335,0,15,,Correlated target flags; no combined safety score.
5303336,0,15,,Correlated target flags; no combined safety score.
5303337,0,15,,Correlated target flags; no combined safety score.
5303338,0,15,,Correlated target flags; no combined safety score.
5303339,0,15,,Correlated target flags; no combined safety score.
5303340,0,15,,Correlated target flags; no combined safety score.
5303341,0,15,,Correlated target flags; no combined safety score.
5303343,0,15,,Correlated target flags; no combined safety score.
5303344,0,15,,Correlated target flags; no combined safety score.
5303345,0,15,,Correlated target flags; no combined safety score.
5303346,9,6,ph;nitrate;turbidity_legacy;alkalinity;hardness,Correlated target flags; no combined safety score.
5303348,0,15,,Correlated target flags; no combined safety score.
5303349,0,15,,Correlated target flags; no combined safety score.
5303350,0,15,,Correlated target flags; no combined safety score.
5303351,0,15,,Correlated target flags; no combined safety score.
5303352,0,15,,Correlated target flags; no combined safety score.
5303353,0,15,,Correlated target flags; no combined safety score.
5303354,7,8,,Correlated target flags; no combined safety score.
5303355,0,15,,Correlated target flags; no combined safety score.
5303356,0,15,,Correlated target flags; no combined safety score.
5303358,0,15,,Correlated target flags; no combined safety score.
5303359,0,15,,Correlated target flags; no combined safety score.
5303360,10,5,dissolved_oxygen;oxygen_saturation,Correlated target flags; no combined safety score.
5303361,10,5,alkalinity;hardness,Correlated target flags; no combined safety score.
5303363,0,15,,Correlated target flags; no combined safety score.
5303364,0,15,,Correlated target flags; no combined safety score.
5303365,0,15,,Correlated target flags; no combined safety score.
5303366,0,15,,Correlated target flags; no combined safety score.
5303368,0,15,,Correlated target flags; no combined safety score.
5303369,0,15,,Correlated target flags; no combined safety score.
5303371,11,4,nitrate;alkalinity;hardness,Correlated target flags; no combined safety score.
5303372,0,15,,Correlated target flags; no combined safety score.
5303377,0,15,,Correlated target flags; no combined safety score.
5303378,0,15,,Correlated target flags; no combined safety score.
5303379,0,15,,Correlated target flags; no combined safety score.
5303380,0,15,,Correlated target flags; no combined safety score.
5303382,0,15,,Correlated target flags; no combined safety score.
5303383,10,5,,Correlated target flags; no combined safety score.
5303384,10,5,dissolved_oxygen,Correlated target flags; no combined safety score.
5303386,0,15,,Correlated target flags; no combined safety score.
5303387,9,6,dissolved_oxygen;oxygen_saturation;ph;turbidity_legacy,Correlated target flags; no combined safety score.
5303389,0,15,,Correlated target flags; no combined safety score.
5303390,0,15,,Correlated target flags; no combined safety score.
5303391,11,4,turbidity_legacy,Correlated target flags; no combined safety score.
5303392,10,5,,Correlated target flags; no combined safety score.
5303393,11,4,ph;turbidity_legacy;hardness,Correlated target flags; no combined safety score.
5303394,10,5,alkalinity;hardness,Correlated target flags; no combined safety score.
5303395,10,5,alkalinity,Correlated target flags; no combined safety score.
5303396,9,6,turbidity_legacy,Correlated target flags; no combined safety score.
5303397,9,6,turbidity_legacy,Correlated target flags; no combined safety score.
5303398,9,6,ph;hardness,Correlated target flags; no combined safety score.
5306101,11,4,ph;nitrate;alkalinity;hardness,Correlated target flags; no combined safety score.
5306102,0,15,,Correlated target flags; no combined safety score.
5306103,10,5,dissolved_oxygen;oxygen_saturation;ph;turbidity_legacy,Correlated target flags; no combined safety score.
5306105,0,15,,Correlated target flags; no combined safety score.
5306106,0,15,,Correlated target flags; no combined safety score.
5306107,0,15,,Correlated target flags; no combined safety score.
5306108,0,15,,Correlated target flags; no combined safety score.
5306109,0,15,,Correlated target flags; no combined safety score.
5306110,0,15,,Correlated target flags; no combined safety score.
5306111,0,15,,Correlated target flags; no combined safety score.
5306113,0,15,,Correlated target flags; no combined safety score.
5306114,0,15,,Correlated target flags; no combined safety score.
5306121,0,15,,Correlated target flags; no combined safety score.
5306122,0,15,,Correlated target flags; no combined safety score.
5306123,0,15,,Correlated target flags; no combined safety score.
