site,date,water_temperature,ph_standard_units,Average_dissolved_oxygen_dis,conductivity,Nitrate,Phosphate,watershed,waterbody
241118181741,2025-02-01,5.6,7.2,10.29,227.3,1.0,0.0,Lyon Creek,West Fork
241118181741,2025-03-01,8.2,7.06,9.68,243.3,0.9,0.13,Lyon Creek,West Fork
241118181741,2025-04-05,9.0,6.83,9.91,248.4,1.0,0.3,Lyon Creek,West Fork
241118181741,2025-05-03,11.2,7.0,8.51,234.8,1.3,0.21,Lyon Creek,West Fork
241118181741,2025-06-07,13.9,7.12,8.34,245.1,1.1,1.0,Lyon Creek,West Fork
241118181741,2025-10-03,11.9,7.63,8.88,252.6,1.1,0.15,Lyon Creek,West Fork
241118181741,2026-01-03,7.6,6.13,10.43,80.9,0.6,0.22,Lyon Creek,West Fork
241118181741,2026-01-31,8.3,6.5,9.58,210.0,0.8,0.25,Lyon Creek,West Fork
241118181741,2026-03-07,9.86,7.77,10.48,190.9,1.16,0.35,Lyon Creek,West Fork
241118181852,2025-01-04,8.7,7.17,10.51,155.0,2.7,1.0,Lyon Creek,Brugger's Bog
241118181852,2025-02-01,6.3,7.4,11.0,204.6,0.7,0.0,Lyon Creek,Brugger's Bog
241118181852,2025-03-01,8.43,7.36,10.56,204.63,0.83,0.16,Lyon Creek,Brugger's Bog
241118181852,2025-04-05,9.7,7.27,10.55,206.0,1.0,0.19,Lyon Creek,Brugger's Bog
241118181852,2025-05-03,11.2,7.3,9.15,138.5,1.2,0.197,Lyon Creek,Brugger's Bog
241118181852,2025-06-07,13.9,7.38,8.44,237.3,1.23,0.76,Lyon Creek,Brugger's Bog
241118181852,2025-10-03,13.1,7.67,9.07,255.6,1.2,0.33,Lyon Creek,Brugger's Bog
241118182046,2024-12-12,8.6,,11.14,,,,McAleer Creek,Perkins Way
241118182046,2025-01-05,9.4,7.8,11.08,207.8,1.9,0.8,McAleer Creek,Perkins Way
241118182046,2025-02-02,6.5,8.0,11.85,217.4,2.0,1.0,McAleer Creek,Perkins Way
241118182046,2025-03-02,8.8,7.8,11.23,218.9,1.1,0.4,McAleer Creek,Perkins Way
241118182046,2025-04-06,10.5,7.8,10.9,223.95,1.5,0.15,McAleer Creek,Perkins Way
241118182046,2025-05-04,11.1,7.98,10.94,272.2,1.5,0.08,McAleer Creek,Perkins Way
241118182150,2025-01-05,9.8,7.9,7.88,254.8,1.3,0.567,McAleer Creek,Spring Creek
241118182150,2025-02-02,7.5,8.1,11.61,262.9,1.6,1.1,McAleer Creek,Spring Creek
241118182150,2025-03-02,9.5,8.0,11.1,269.6,1.2,0.35,McAleer Creek,Spring Creek
241118182150,2025-04-06,10.9,8.0,10.83,271.5,1.6,0.113,McAleer Creek,Spring Creek
241118182150,2025-05-04,11.2,7.88,10.79,227.8,1.6,0.25,McAleer Creek,Spring Creek
241118182150,2025-06-12,12.3,8.03,10.48,275.4,1.3,0.27,McAleer Creek,Spring Creek
241118182150,2025-07-12,14.3,8.0,10.02,276.1,1.5,0.37,McAleer Creek,Spring Creek
241118182150,2025-08-02,13.7,8.0,9.97,271.0,1.5,0.087,McAleer Creek,Spring Creek
241118182150,2025-09-13,13.9,6.7,9.72,279.5,1.3,0.24,McAleer Creek,Spring Creek
241118182150,2025-10-03,12.8,8.21,10.18,281.3,1.7,0.21,McAleer Creek,Spring Creek
241118182150,2026-01-04,9.4,8.19,11.32,236.8,0.3,0.13,McAleer Creek,Spring Creek
241118182245,2025-01-05,10.4,7.8,10.86,,1.4,0.567,McAleer Creek,Sarah's Creek
241118182245,2025-02-02,9.0,8.0,11.12,259.1,1.9,1.267,McAleer Creek,Sarah's Creek
241118182245,2025-03-02,10.2,7.8,10.88,264.7,1.2,0.25,McAleer Creek,Sarah's Creek
241118182245,2025-04-06,11.0,7.8,10.7,268.5,1.6,0.09,McAleer Creek,Sarah's Creek
241118182245,2025-05-04,11.1,7.79,10.82,267.1,1.6,0.14,McAleer Creek,Sarah's Creek
241118182245,2025-06-12,11.9,7.84,10.57,266.7,1.7,0.67,McAleer Creek,Sarah's Creek
241118182245,2025-10-04,12.4,8.05,10.25,271.4,2.1,0.28,McAleer Creek,Sarah's Creek
241118182245,2026-01-04,10.3,8.11,11.04,243.0,0.2,0.14,McAleer Creek,Sarah's Creek
241118182245,2026-02-19,10.16,7.64,11.09,,2.03,0.14,McAleer Creek,Sarah's Creek
241118182407,2025-01-05,9.7,7.7,11.02,,1.6,0.533,McAleer Creek,Whisper Creek
241118182407,2025-02-02,7.7,8.0,11.48,264.0,1.6,1.167,McAleer Creek,Whisper Creek
241118182407,2025-03-02,9.5,7.9,10.97,270.4,1.5,0.25,McAleer Creek,Whisper Creek
241118182407,2025-04-06,10.8,7.9,10.76,273.9,1.5,0.163,McAleer Creek,Whisper Creek
241118182407,2025-05-04,11.0,7.9,10.84,269.2,0.83,0.15,McAleer Creek,Whisper Creek
241118182407,2025-06-13,12.3,7.96,10.42,277.2,1.4,0.34,McAleer Creek,Whisper Creek
241118182407,2025-10-03,12.8,8.13,10.12,283.5,1.7,0.29,McAleer Creek,Whisper Creek
241118182407,2026-01-04,9.5,8.02,11.15,238.1,0.1,0.17,McAleer Creek,Whisper Creek
241118182407,2026-02-19,9.3,7.69,11.19,,1.57,0.16,McAleer Creek,Whisper Creek
241118182520,2025-01-05,9.4,7.2,9.96,251.25,1.2,0.5,McAleer Creek,Cedarbrook
241118182520,2025-02-02,7.1,7.58,10.95,258.9,1.5,1.0,McAleer Creek,Cedarbrook
241118182520,2025-03-02,9.3,7.2,10.67,264.6,1.2,0.4,McAleer Creek,Cedarbrook
241118182520,2025-04-06,10.6,7.0,9.95,269.2,1.3,0.093,McAleer Creek,Cedarbrook
241118182520,2025-05-04,10.9,7.12,10.46,268.1,0.87,0.13,McAleer Creek,Cedarbrook
241118182520,2025-06-12,12.8,7.24,9.6,272.5,1.1,0.26,McAleer Creek,Cedarbrook
241118182520,2025-10-03,13.5,7.76,9.21,280.5,1.5,0.29,McAleer Creek,Cedarbrook
241118182520,2026-01-04,9.0,7.49,9.94,226.9,0.2,0.1,McAleer Creek,Cedarbrook
241118182520,2026-02-19,8.8,7.03,10.31,,0.76,0.11,McAleer Creek,Cedarbrook
241118182616,2025-01-03,7.3,7.17,11.36,123.23,5.53,1.86,McAleer Creek,Big Tree
241118182616,2025-01-31,6.59,7.53,11.67,206.66,0.9,0.3,McAleer Creek,Big Tree
241118182616,2025-02-28,8.9,7.51,11.26,214.33,1.03,0.33,McAleer Creek,Big Tree
241118182616,2025-04-04,9.8,7.6,10.87,191.3,1.6,0.37,McAleer Creek,Big Tree
241118182616,2025-05-02,11.7,7.63,10.34,229.83,1.96,0.25,McAleer Creek,Big Tree
241118182616,2025-06-06,13.4,7.65,9.85,232.6,1.7,0.27,McAleer Creek,Big Tree
241118182616,2025-07-12,14.7,7.5,9.47,235.5,1.9,0.583,McAleer Creek,Big Tree
241118182616,2025-08-02,14.9,7.8,9.72,235.0,1.4,0.207,McAleer Creek,Big Tree
241118182616,2025-09-13,14.8,6.7,9.43,239.0,,0.25,McAleer Creek,Big Tree
241118182616,2025-10-03,11.9,7.77,9.81,239.0,1.9,0.14,McAleer Creek,Big Tree
241118182616,2026-01-30,7.9,7.37,11.21,115.3,6.8,0.63,McAleer Creek,Big Tree
241118182616,2026-03-06,8.8,7.6,11.48,,1.53,0.263,McAleer Creek,Big Tree
241118183206,2025-01-22,6.7,7.08,11.53,102.4,4.3,1.7,McAleer Creek,Sheridan Creek
241118183206,2025-01-31,5.63,7.55,11.61,196.73,0.9,0.23,McAleer Creek,Sheridan Creek
241118183206,2025-02-28,8.77,7.48,11.23,199.23,1.13,0.27,McAleer Creek,Sheridan Creek
241118183206,2025-04-04,9.8,7.6,10.88,174.1,1.5,0.607,McAleer Creek,Sheridan Creek
241118183206,2025-05-02,12.3,7.5,10.21,217.96,1.6,0.17,McAleer Creek,Sheridan Creek
241118183206,2025-06-06,14.4,7.53,9.28,223.5,1.6,0.27,McAleer Creek,Sheridan Creek
241118183206,2025-07-12,16.6,7.5,8.84,230.1,1.3,0.31,McAleer Creek,Sheridan Creek
241118183206,2025-08-02,15.8,7.6,9.17,229.5,1.0,0.203,McAleer Creek,Sheridan Creek
241118183206,2025-09-13,15.5,,9.25,235.0,,0.35,McAleer Creek,Sheridan Creek
241118183206,2025-10-03,12.3,7.61,9.5,230.4,1.6,0.15,McAleer Creek,Sheridan Creek
241118183206,2025-12-05,8.9,7.51,10.36,191.7,1.1,0.16,McAleer Creek,Sheridan Creek
241118183206,2026-01-02,8.4,8.12,11.19,191.93,1.07,0.24,McAleer Creek,Sheridan Creek
241118183206,2026-01-26,8.9,7.51,10.36,191.7,1.1,0.16,McAleer Creek,Sheridan Creek
241118183206,2026-02-28,7.6,7.3,11.7,112.7,,,McAleer Creek,Sheridan Creek
241118183206,2026-03-06,8.9,7.4,,174.45,1.1,0.16,McAleer Creek,Sheridan Creek
241118183308,2025-01-03,7.1,6.95,11.35,121.1,5.0,1.9,McAleer Creek,Hillside Creek
241118183308,2025-01-31,5.915,7.46,11.475,205.915,0.6,0.265,McAleer Creek,Hillside Creek
241118183308,2025-02-28,9.07,7.31,10.64,211.9,0.93,0.3,McAleer Creek,Hillside Creek
241118183308,2025-04-04,9.8,7.6,10.9,184.8,1.4,0.837,McAleer Creek,Hillside Creek
241118183308,2025-05-02,11.16,7.64,10.56,233.23,1.7,0.19,McAleer Creek,Hillside Creek
241118183308,2025-06-06,12.5,7.74,10.12,235.4,1.9,0.34,McAleer Creek,Hillside Creek
241118183308,2025-07-12,15.0,7.7,9.72,234.4,1.6,0.283,McAleer Creek,Hillside Creek
241118183308,2025-08-02,13.8,7.8,9.94,236.1,1.4,0.27,McAleer Creek,Hillside Creek
241118183308,2025-09-13,14.1,6.73,9.75,238.5,,0.26,McAleer Creek,Hillside Creek
241118183308,2025-10-03,11.9,7.92,10.12,240.2,1.8,0.15,McAleer Creek,Hillside Creek
241118183308,2025-12-05,9.6,7.64,10.36,208.9,1.45,0.25,McAleer Creek,Hillside Creek
241118183308,2026-01-02,7.89,7.89,10.86,210.87,1.13,0.21,McAleer Creek,Hillside Creek
241118183308,2026-01-30,8.0,7.2,11.7,102.5,,,McAleer Creek,Hillside Creek
241118183308,2026-03-06,8.8,7.5,,195.2,1.0,0.155,McAleer Creek,Hillside Creek
241118183404,2025-01-03,6.5,7.57,11.79,119.27,7.0,2.8,McAleer Creek,Brookside Creek
241118183404,2025-01-31,5.2,7.9,11.84,214.03,0.4,0.33,McAleer Creek,Brookside Creek
241118183404,2025-02-28,7.73,7.83,11.51,214.4,1.1,0.43,McAleer Creek,Brookside Creek
241118183404,2025-04-04,8.7,7.9,11.35,221.3,1.8,0.34,McAleer Creek,Brookside Creek
241118183404,2025-05-03,11.8,7.91,10.33,233.2,1.76,0.22,McAleer Creek,Brookside Creek
241118183404,2025-06-06,13.8,7.98,10.14,236.8,1.77,0.34,McAleer Creek,Brookside Creek
241118183404,2025-07-12,15.9,8.0,9.77,240.3,2.3,0.273,McAleer Creek,Brookside Creek
241118183404,2025-08-02,15.7,7.9,9.76,238.0,1.3,0.243,McAleer Creek,Brookside Creek
241118183404,2025-09-13,14.75,6.74,9.74,240.5,,0.3,McAleer Creek,Brookside Creek
241118183404,2025-10-03,12.2,8.17,10.38,240.0,2.1,0.14,McAleer Creek,Brookside Creek
241118183404,2025-12-05,8.8,8.05,10.85,206.867,1.4,0.21,McAleer Creek,Brookside Creek
241118183404,2026-01-02,6.8,8.06,11.54,208.37,0.83,0.39,McAleer Creek,Brookside Creek
241118183404,2026-01-30,7.6,7.6,11.7,142.2,,,McAleer Creek,Brookside Creek
241118183404,2026-03-06,8.8,7.86,,195.0,1.0,0.2,McAleer Creek,Brookside Creek
241118183501,2025-01-03,6.7,7.1,11.38,148.7,3.3,0.7,McAleer Creek,Grace Cole
241118183501,2025-01-31,5.4,7.38,11.69,235.03,0.0,0.1,McAleer Creek,Grace Cole
241118183501,2025-02-28,8.6,7.31,10.45,236.4,0.73,0.07,McAleer Creek,Grace Cole
241118183501,2025-04-04,10.1,7.4,10.96,249.7,1.5,0.443,McAleer Creek,Grace Cole
241118183501,2025-05-02,12.1,7.35,9.64,256.8,0.83,0.42,McAleer Creek,Grace Cole
241118183501,2025-06-06,14.7,7.29,8.59,253.6,1.2,0.22,McAleer Creek,Grace Cole
241118183501,2025-10-03,12.6,7.63,9.43,257.9,1.7,0.22,McAleer Creek,Grace Cole
241118183501,2025-12-05,8.63,7.4167,9.76,227.867,2.0,0.19,McAleer Creek,Grace Cole
241118183501,2026-01-02,6.6,7.72,10.81,229.57,0.83,0.26,McAleer Creek,Grace Cole
241118183501,2026-01-30,7.6,7.1,11.2,191.4,1.5,0.27,McAleer Creek,Grace Cole
241118183501,2026-03-06,9.2,7.4,,214.7,0.9,0.09,McAleer Creek,Grace Cole
241118183629,2025-01-03,7.3,6.82,10.36,183.05,4.6,2.3,McAleer Creek,Meadow Creek
241118183629,2025-01-31,6.7,7.36,10.91,223.4,0.3,0.17,McAleer Creek,Meadow Creek
241118183629,2025-02-28,8.8,7.22,10.34,242.9,0.8,0.3,McAleer Creek,Meadow Creek
241118183629,2025-04-04,9.7,7.3,10.07,246.4,1.2,0.96,McAleer Creek,Meadow Creek
241118183629,2025-05-02,10.5,7.52,10.31,268.3,0.87,0.12,McAleer Creek,Meadow Creek
241118183629,2025-06-06,11.8,6.95,8.55,261.5,1.6,0.26,McAleer Creek,Meadow Creek
241118183629,2025-10-03,12.1,7.33,8.15,263.5,1.6,0.17,McAleer Creek,Meadow Creek
241118183629,2026-01-30,8.1,6.21,10.05,206.0,2.1,0.28,McAleer Creek,Meadow Creek
241118183629,2026-03-06,8.7,7.06,10.66,230.25,0.9,0.21,McAleer Creek,Meadow Creek
251204213047,2025-12-05,10.7,7.56,10.28,180.67,2.45,0.1,Lake Washington-Sammamish River,Gessner Site
251204213047,2026-01-02,8.7,8.14,10.4,176.77,0.67,0.28,Lake Washington-Sammamish River,Gessner Site
251204213047,2026-02-28,8.3,7.0,11.6,37.1,,,Lake Washington-Sammamish River,Gessner Site
251204213047,2026-03-06,9.6,7.5,,164.3,0.6,0.09,Lake Washington-Sammamish River,Gessner Site
251204215153,2026-01-30,8.2,7.62,11.53,110.9,8.9,0.96,Lake Washington-Sammamish River,Andersen Site
251204215153,2026-03-06,8.9,7.84,11.72,207.1,0.63,0.3,Lake Washington-Sammamish River,Andersen Site
251204215814,2026-01-30,8.1,7.0,11.63,56.7,3.4,0.53,McAleer Creek,W Hillside
251204215814,2026-03-06,9.46,7.55,11.55,193.0,0.6,0.2,McAleer Creek,W Hillside
251204220155,2026-01-30,8.2,7.48,11.57,165.8,6.4,1.01,McAleer Creek,S Meadow
251204220155,2026-03-06,8.93,7.83,11.64,212.53,1.2,0.263,McAleer Creek,S Meadow
251204220610,2026-01-04,9.0,7.86,10.77,254.9,0.9,0.14,McAleer Creek,Upper Cedarbrook
251204220610,2026-02-19,9.0,7.19,10.78,,0.83,0.17,McAleer Creek,Upper Cedarbrook
251221144813,2019-10-26,10.96,7.1,4.7,150.6,0.7,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2019-12-22,,,,,,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-01-25,8.5,7.0,6.2,136.0,1.25,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-02-23,7.6,7.0,6.9,229.0,1.5,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-03-30,9.7,7.1,8.4,128.6,1.6,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-04-27,13.6,6.9,5.8,179.1,1.41,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-05-29,19.2,7.1,4.2,300.3,1.78,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-06-28,16.3,6.8,6.3,119.0,1.92,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-07-26,17.1,7.1,5.0,306.7,1.66,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-08-30,15.8,7.1,6.4,299.3,1.07,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-09-27,15.4,7.1,3.5,183.6,0.8,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-10-25,9.9,6.8,5.5,256.2,1.25,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-11-22,8.0,6.9,5.6,164.0,1.6,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2020-12-23,5.9,7.0,6.2,114.2,1.64,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-01-29,6.8,7.0,6.7,213.9,1.12,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-02-28,7.8,7.0,8.5,226.2,1.05,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-03-28,9.3,7.2,6.7,261.5,1.12,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-04-25,12.9,6.9,6.2,182.4,1.54,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-05-23,13.9,7.02,3.9,316.7,1.31,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-06-30,20.0,7.2,4.7,299.5,2.17,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-07-25,19.2,7.4,8.2,306.5,0.42,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-08-22,16.5,7.7,6.2,295.1,1.08,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-09-26,15.3,7.1,3.9,273.3,1.25,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2021-10-24,12.4,7.1,3.8,160.0,0.63,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2022-01-23,7.2,6.9,5.0,288.0,2.29,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2022-04-17,11.0,7.0,7.32,245.3,1.7,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2022-07-21,20.3,7.08,6.8,331.4,,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2022-08-16,,,,,,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2022-10-30,11.0,6.9,4.88,253.1,0.03,,Springbrook Creek,Springbrook Creek River Mile 1.4
251221144813,2023-01-22,6.4,6.78,6.51,219.3,2.31,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2023-04-16,11.0,6.89,7.42,170.3,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2023-07-25,18.6,7.16,6.89,306.2,,,Springbrook Creek,Springbrook Creek river mile 1.4
251221144813,2023-10-29,8.6,6.97,6.32,242.0,,,Springbrook Creek,Springbrook Creek river mile 1.4
251221144813,2024-01-21,4.8,7.04,8.88,165.0,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2024-05-05,12.2,7.07,6.19,153.8,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2024-07-25,18.3,7.18,6.63,319.7,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2024-10-26,12.3,7.1,4.94,249.3,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2025-02-16,5.6,6.99,8.82,381.5,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2025-06-16,17.3,6.93,7.43,319.1,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2025-08-21,18.8,7.05,4.76,282.3,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221144813,2025-11-23,10.8,6.67,5.0,130.4,,,Springbrook Creek,Springbrook Creek River MIle 1.4
251221145424,2019-09-28,13.6,7.0,5.0,110.3,,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2019-10-26,10.9,7.0,5.2,129.9,0.44,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2019-12-22,8.0,7.2,8.9,91.8,1.62,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-01-25,8.6,7.0,9.3,108.0,1.28,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-02-23,7.1,7.2,8.1,202.1,1.1,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-03-30,9.4,7.4,9.6,98.7,1.3,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-04-27,15.3,7.1,7.1,168.5,1.34,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-05-29,17.7,7.11,5.8,260.3,1.5,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-06-28,16.1,7.1,7.1,107.1,0.94,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-07-26,16.8,7.2,6.4,264.6,1.63,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-08-30,14.8,7.3,6.9,256.7,1.28,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145424,2020-09-27,15.7,7.2,4.9,191.2,1.35,,Springbrook Creek,Springbrook Creek River Mile 3.0
251221145617,2019-10-26,10.6,7.2,4.1,107.2,0.8,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2019-11-02,8.3,7.3,5.7,248.4,0.51,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2019-12-22,8.1,6.9,9.6,119.7,2.8,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-01-25,8.6,6.0,10.0,108.4,1.58,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-02-23,7.2,7.0,9.1,160.0,1.8,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-03-30,8.3,7.0,10.6,90.3,1.7,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-04-27,13.5,7.0,8.2,166.7,1.45,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-05-29,15.9,7.3,8.0,235.8,1.84,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-06-28,15.6,7.1,6.9,126.5,1.01,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-07-26,14.9,7.2,7.2,248.1,1.52,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-08-30,13.4,7.4,8.1,237.7,1.36,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145617,2020-09-27,13.7,7.2,6.1,194.5,1.09,,Springbrook Creek,Springbrook Creek River Mile 4.3
251221145854,2019-09-28,11.2,7.7,11.3,251.6,,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2019-10-26,10.3,7.5,11.4,253.0,1.85,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2019-12-22,9.1,7.2,11.9,200.5,4.13,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-01-25,9.4,7.3,11.9,181.0,3.68,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-02-23,8.6,7.5,12.2,228.9,3.2,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-03-30,9.4,7.3,11.9,178.6,4.5,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-04-27,12.0,7.8,11.3,243.0,2.9,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-05-29,12.9,8.1,10.9,250.9,2.49,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-06-28,12.4,7.9,11.0,244.3,1.98,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-07-26,12.9,7.9,10.9,252.6,2.42,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-08-30,12.1,7.9,11.5,254.1,1.71,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-09-27,11.9,7.8,11.6,250.4,1.5,,Springbrook Creek,Springbrook Creek River Mile 5.0
251221145854,2020-10-25,9.2,7.9,10.2,252.2,3.93,,Springbrook Creek,Springbrook Creek River Mile 5.0
